textDisplay,normalized,clean_comment,sentiment
KPK harus  siaga satu  !!!!!,kpk harus  siaga satu  !!!!!,kpk harus siaga satu,neutral
Berarti atas ijin Purbaya?,berarti atas ijin purbaya?,berarti atas ijin purbaya,neutral
Apakah sabar ini sudah sampai puncaknya?... Bukan indonesia gelap lagi ini tapi hancurr...,apakah sabar ini sudah sampai puncaknya?... bukan indonesia gelap lagi ini tapi hancurr...,apakah sabar ini sudah sampai puncaknya bukan indonesia gelap lagi ini tapi hancurr,negative
kapan nih KPK/Kejagung mau periksa dadan + purbaya...   ???,kapan nih kpk/kejagung mau periksa dadan + purbaya...   ???,kapan nih kpk kejagung mau periksa dadan purbaya,neutral
😂😂😂 korupsi anggaran MBG sudah direncanakan 😂😂😂,😂😂😂 korupsi anggaran mbg sudah direncanakan 😂😂😂,korupsi anggaran mbg sudah direncanakan,negative
MBG : PETAKA yang dimulai dari niat baik,mbg : petaka yang dimulai dari niat baik,mbg petaka yang dimulai dari niat baik,negative
Kpk mungkin ompong ...<br>Dan sepeda motor tdk orgen....tdk realistis...<br>Dan merugika APBN,kpk mungkin ompong ...<br>dan sepeda motor tidak orgen....tidak realistis...<br>dan merugika apbn,kpk mungkin ompong dan sepeda motor tidak orgen tidak realistis dan merugika apbn,negative
"Kepala BGN tp ahli entomologi, menteri ESDM tp lulusan sains ekonomi, meneteri kehutanan tp bukan lulusan kehutanan. Dah lahh.","kepala bgn tp ahli entomologi, menteri esdm tp lulusan sains ekonomi, meneteri kehutanan tp bukan lulusan kehutanan. dah lahh.",kepala bgn tp ahli entomologi menteri esdm tp lulusan sains ekonomi meneteri kehutanan tp bukan lulusan kehutanan dah lahh,negative
"rezim MBG sangat meresahkan, perlu dikasih paham lagi sama rakyat","rezim mbg sangat meresahkan, perlu dikasih paham lagi sama rakyat",rezim mbg sangat meresahkan perlu dikasih paham lagi sama rakyat,negative
Tunggulah akan ada akhir,tunggulah akan ada akhir,tunggulah akan ada akhir,negative
makin serakah dan rakus merampas dan merampok.... buat bekal nanti di lubang kubur...,makin serakah dan rakus merampas dan merampok.... buat bekal nanti di lubang kubur...,makin serakah dan rakus merampas dan merampok buat bekal nanti di lubang kubur,negative
"Rakyat disuruh hidup irit, sementara raja dan golongannya terus menghamburkan anggaran yg bikin APBN jebol! AYO JEBOLKAN APBN SEJEBOL JEBOLNYA SAMPAI INDONESIA BANGKRUT SEBANGKRUT BANGKRUTNYA! TERUSKANLAH WO!","rakyat disuruh hidup irit, sementara raja dan golongannya terus menghamburkan anggaran yang bikin apbn jebol! ayo jebolkan apbn sejebol jebolnya sampai indonesia bangkrut sebangkrut bangkrutnya! teruskanlah wo!",rakyat disuruh hidup irit sementara raja dan golongannya terus menghamburkan anggaran yang bikin apbn jebol ayo jebolkan apbn sejebol jebolnya sampai indonesia bangkrut sebangkrut bangkrutnya teruskanlah wo,negative
Kt menjauh ajuan dicoret kok msh import spd mtr listrik,kt menjauh ajuan dicoret kok msh import spd mtr listrik,kt menjauh ajuan dicoret kok msh import spd mtr listrik,neutral
Gak ngotak,gak ngotak,gak ngotak,negative
"gampang ajaaa, naikin aja isu fh ui beress lupa semua orang","gampang ajaaa, naikin aja isu fh ui beress lupa semua orang",gampang ajaaa naikin aja isu fh ui beress lupa semua orang,negative
Coba tanya gaji kepala mbg pusat biar rakyat tau. Berapa gaji dadang itu😂😂,coba tanya gaji kepala mbg pusat biar rakyat tau. berapa gaji dadang itu😂😂,coba tanya gaji kepala mbg pusat biar rakyat tau berapa gaji dadang itu,neutral
"Aturannya cuma satu, Wani Piro...?","aturannya cuma satu, wani piro...?",aturannya cuma satu wani piro,neutral
Sebutkan nama2 ikan?,sebutkan nama2 ikan?,sebutkan nama ikan,neutral
Korupsinya masif,korupsinya masif,korupsinya masif,negative
MBG program Pro dan ganda pemerintah di luar terlihat bagus dan Pro merakyat tapi didalam masih banyak hama &quot; untuk celah korupsi dan nepotisme wkwkw,mbg program pro dan ganda pemerintah di luar terlihat bagus dan pro merakyat tapi didalam masih banyak hama &quot; untuk celah korupsi dan nepotisme wkwkw,mbg program pro dan ganda pemerintah di luar terlihat bagus dan pro merakyat tapi didalam masih banyak hama quot untuk celah korupsi dan nepotisme wkwkw,negative
Bagaimana dengan peraturan pengadaan barang jasa pemerintah?,bagaimana dengan peraturan pengadaan barang jasa pemerintah?,bagaimana dengan peraturan pengadaan barang jasa pemerintah,neutral
"Mantaapppp..... pemerintah sangat bijak dlm menghamburkan uang rakyat.pemilik SPPG pun perlu dibantu, dibelikan motor listrik.","mantaapppp..... pemerintah sangat bijak dlm menghamburkan uang rakyat.pemilik sppg pun perlu dibantu, dibelikan motor listrik.",mantaapppp pemerintah sangat bijak dlm menghamburkan uang rakyat pemilik sppg pun perlu dibantu dibelikan motor listrik,neutral
Efiensi omon omon😂😂😂,efiensi omon omon😂😂😂,efiensi omon omon,neutral
Terimakasih pak prabowo dan semua jajaran terus berjuang demi rakyatmu dan NKRI ❤🇮🇩❤ Lanjutkan program MBG dan koperasi merah putih rakyat sangat membutuhkan ❤❤❤,terimakasih pak prabowo dan semua jajaran terus berjuang demi rakyatmu dan nkri ❤🇮🇩❤ lanjutkan program mbg dan koperasi merah putih rakyat sangat membutuhkan ❤❤❤,terimakasih pak prabowo dan semua jajaran terus berjuang demi rakyatmu dan nkri lanjutkan program mbg dan koperasi merah putih rakyat sangat membutuhkan,positive
Kira2 yang banyak gizi nya anak sekolah atau pejabat nya,kira2 yang banyak gizi nya anak sekolah atau pejabat nya,kira yang banyak gizi nya anak sekolah atau pejabat nya,positive
Yang penting Adaaaa...,yang penting adaaaa...,yang penting adaaaa,positive
Mau dibawa kemana Indonesia ini.....,mau dibawa kemana indonesia ini.....,mau dibawa kemana indonesia ini,negative
